epoch,epoch_training_loss,epoch_validation_loss,validation_accuracy,validation_f1,model-activation-optimizer-lr-wd
1,0.6942,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
2,0.6933,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
3,0.6933,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
4,0.6932,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
5,0.6932,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
6,0.6932,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
7,0.6932,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
8,0.6932,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
9,0.6932,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
10,0.6932,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
11,0.6932,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
12,0.6932,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
13,0.6932,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
14,0.6932,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
15,0.6932,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
16,0.6932,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
17,0.6932,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
18,0.6932,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
19,0.6932,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
20,0.6932,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
21,0.6932,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
22,0.6932,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
23,0.6932,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
24,0.6932,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
25,0.6932,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
26,0.6932,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
27,0.6932,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
28,0.6932,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
29,0.6932,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
30,0.6932,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
31,0.6932,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
32,0.6932,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
33,0.6932,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
34,0.6932,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
35,0.6932,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
36,0.6932,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
37,0.6932,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
38,0.6932,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
39,0.6932,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
40,0.6932,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
41,0.6932,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
42,0.6932,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
43,0.6932,0.6932,0.4952609987268355,0.3312,MLP-ReLU-Adagrad-0.01-0_Batch-32
