epoch,epoch_training_loss,epoch_validation_loss,epoch_testing_loss,training_accuracy,training_f1,validation_accuracy,validation_f1,testing_accuracy,testing_f1,model-activation-optimizer-lr-wd
1,0.7269,0.7008,0.7039,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
2,0.6975,0.6937,0.695,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
3,0.6938,0.693,0.6936,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
4,0.6933,0.693,0.6933,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
5,0.6932,0.6931,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
6,0.6932,0.6931,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
7,0.6932,0.6931,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
8,0.6932,0.6931,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
9,0.6932,0.6931,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
10,0.6932,0.6931,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
11,0.6932,0.6931,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
12,0.6932,0.6932,0.6931,0.497029702970297,0.332,0.492431744235394,0.33,0.501317348328117,0.3339,MLP-ReLU-Adagrad-0.01-0
13,0.6932,0.6931,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
14,0.6932,0.6931,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
15,0.6932,0.6931,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
16,0.6932,0.693,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
17,0.6932,0.6931,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
