epoch,epoch_training_loss,epoch_validation_loss,validation_accuracy,validation_f1,model-activation-optimizer-lr-wd
1,0.554,0.5295,0.7412646767576744,0.7413,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
2,0.5316,0.5218,0.7450841703211204,0.745,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
3,0.5269,0.5174,0.7489036638845664,0.7483,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
4,0.5223,0.5152,0.7504597538548592,0.7495,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
5,0.5199,0.5135,0.7470646484651294,0.7471,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
6,0.5174,0.5091,0.7489036638845664,0.7487,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
7,0.5153,0.5243,0.7436695430753997,0.7397,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
8,0.5143,0.5062,0.7496109775074268,0.7494,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
9,0.5135,0.5053,0.7489036638845664,0.7488,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
10,0.5121,0.5046,0.7515914556514358,0.7514,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
11,0.5112,0.5042,0.7522987692742962,0.7514,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
12,0.5104,0.5036,0.7525816947234404,0.7517,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
13,0.5097,0.5023,0.7524402319988683,0.7519,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
14,0.509,0.5022,0.7530060828971566,0.7524,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
15,0.5089,0.5027,0.751732918376008,0.7508,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
16,0.5074,0.5075,0.7491865893337105,0.749,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
17,0.5071,0.5012,0.7534304710708728,0.7533,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
18,0.5077,0.5012,0.7541377846937332,0.7538,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
19,0.5071,0.5012,0.7515914556514358,0.751,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
20,0.5061,0.5084,0.7479134248125618,0.7476,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
21,0.5066,0.5008,0.7531475456217287,0.7531,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
22,0.5065,0.5003,0.7532890083463007,0.7529,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
23,0.5056,0.5031,0.7527231574480124,0.7527,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
24,0.5061,0.5038,0.7496109775074268,0.748,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
25,0.5055,0.5005,0.7525816947234404,0.752,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
26,0.5055,0.5002,0.75187438110058,0.7513,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
27,0.5059,0.5012,0.751732918376008,0.7508,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
28,0.5048,0.5001,0.7544207101428774,0.7543,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
29,0.505,0.5012,0.7521573065497241,0.7513,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
30,0.5043,0.5013,0.7506012165794314,0.7497,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
31,0.505,0.4999,0.7545621728674494,0.7544,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
32,0.5046,0.5034,0.7524402319988683,0.7524,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
33,0.505,0.5003,0.7541377846937332,0.7535,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
34,0.5048,0.504,0.7496109775074268,0.7479,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
35,0.5047,0.5,0.7535719337954448,0.753,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
36,0.5047,0.5003,0.753713396520017,0.753,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
37,0.5049,0.4998,0.7535719337954448,0.7533,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
38,0.5042,0.5003,0.7542792474183053,0.7542,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
39,0.5042,0.4997,0.7552694864903098,0.7551,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
40,0.5036,0.5017,0.7538548592445891,0.7539,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
41,0.5038,0.4995,0.7541377846937332,0.7539,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
42,0.5042,0.5014,0.7513085302022917,0.7502,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
43,0.5043,0.4997,0.7541377846937332,0.7539,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
44,0.5041,0.4995,0.7547036355920215,0.7545,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
45,0.5041,0.4995,0.7551280237657377,0.7548,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
46,0.5041,0.5011,0.751732918376008,0.7507,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
47,0.5042,0.4995,0.7547036355920215,0.7542,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
48,0.5039,0.4996,0.7552694864903098,0.7552,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
49,0.5038,0.5002,0.7535719337954448,0.7529,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
50,0.5037,0.5048,0.7486207384354223,0.7467,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
51,0.5041,0.4996,0.7542792474183053,0.7541,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
52,0.5039,0.4995,0.755693874664026,0.7553,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
53,0.5036,0.4996,0.7558353373885981,0.7554,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
54,0.5037,0.5006,0.7522987692742962,0.7514,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
55,0.5033,0.4996,0.7549865610411657,0.7544,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
56,0.5036,0.5011,0.7506012165794314,0.7496,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
57,0.5035,0.4997,0.7551280237657377,0.7546,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
58,0.5034,0.4995,0.7558353373885981,0.7554,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
59,0.503,0.5003,0.7528646201725845,0.7521,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
60,0.5035,0.4996,0.755693874664026,0.7552,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
61,0.5037,0.5014,0.7510256047531475,0.7499,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
62,0.5035,0.5007,0.75187438110058,0.7509,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
63,0.5034,0.4995,0.755552411939454,0.7551,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
64,0.5032,0.4995,0.7535719337954448,0.7534,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
65,0.5037,0.4994,0.755552411939454,0.7551,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
66,0.5032,0.4993,0.7541377846937332,0.7539,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
67,0.5031,0.4993,0.7545621728674494,0.7543,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
68,0.5032,0.4994,0.755552411939454,0.7551,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
69,0.5028,0.5014,0.7503182911302871,0.7492,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
70,0.5033,0.4995,0.7539963219691611,0.7534,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
71,0.5033,0.5012,0.7507426793040034,0.7496,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
72,0.5031,0.4992,0.7552694864903098,0.7549,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
73,0.5029,0.4995,0.7538548592445891,0.7533,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
74,0.503,0.5008,0.7514499929268638,0.7504,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
75,0.5028,0.4993,0.755693874664026,0.7552,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
76,0.5027,0.4991,0.7554109492148818,0.7551,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
77,0.503,0.501,0.7507426793040034,0.7496,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
78,0.5025,0.4993,0.7562597255623144,0.7559,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
79,0.503,0.4998,0.7530060828971566,0.7523,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
80,0.503,0.4992,0.7551280237657377,0.7548,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
81,0.5025,0.4992,0.7558353373885981,0.7554,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
82,0.5028,0.5008,0.7510256047531475,0.75,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
83,0.503,0.4997,0.7527231574480124,0.752,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
84,0.5028,0.5002,0.7527231574480124,0.7519,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
85,0.5027,0.4996,0.7532890083463007,0.7527,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
86,0.5029,0.4996,0.7530060828971566,0.7524,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
87,0.5026,0.5006,0.7525816947234404,0.7516,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
88,0.5028,0.4993,0.7552694864903098,0.7548,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
89,0.5026,0.4997,0.7525816947234404,0.7519,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
90,0.5025,0.4992,0.7562597255623144,0.7559,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
91,0.5027,0.4993,0.7538548592445891,0.7537,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
92,0.5021,0.4994,0.7541377846937332,0.7539,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
93,0.5025,0.4999,0.7525816947234404,0.7519,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
94,0.5025,0.4995,0.7547036355920215,0.7546,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
95,0.5025,0.4992,0.7548450983165936,0.7544,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
96,0.502,0.4993,0.7547036355920215,0.7542,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
97,0.5023,0.4992,0.7552694864903098,0.7548,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
98,0.5021,0.4993,0.7549865610411657,0.7545,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
99,0.5024,0.5008,0.7510256047531475,0.75,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
100,0.5018,0.5046,0.7489036638845664,0.7468,MLP520-Tanh-Adagrad-0.01-0_Drop-0.00
1,0.5725,0.5396,0.7388598104399491,0.7372,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
2,0.5498,0.5299,0.7449427075965483,0.7443,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
3,0.5462,0.5323,0.7439524685245438,0.7418,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
4,0.5463,0.5235,0.7484792757108502,0.7481,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
5,0.5415,0.5214,0.7496109775074268,0.7487,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
6,0.5391,0.5196,0.750035365681143,0.7495,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
7,0.5357,0.5189,0.7496109775074268,0.7487,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
8,0.5394,0.5182,0.7515914556514358,0.7506,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
9,0.5385,0.516,0.7487622011599944,0.7485,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
10,0.5334,0.5155,0.750035365681143,0.7494,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
11,0.5368,0.5146,0.7479134248125618,0.7476,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
12,0.5361,0.5147,0.7510256047531475,0.7503,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
13,0.5366,0.5162,0.7504597538548592,0.7492,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
14,0.5328,0.5187,0.7469231857405574,0.7448,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
15,0.5374,0.5146,0.7515914556514358,0.7505,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
16,0.5363,0.515,0.7504597538548592,0.7492,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
17,0.5357,0.5129,0.750035365681143,0.7495,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
18,0.5318,0.5123,0.748054887537134,0.7476,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
19,0.5303,0.5173,0.7470646484651294,0.745,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
20,0.5335,0.5156,0.7496109775074268,0.7478,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
21,0.5345,0.5119,0.7507426793040034,0.75,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
22,0.5337,0.5121,0.7507426793040034,0.7497,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
23,0.533,0.5111,0.7497524402319988,0.7496,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
24,0.5304,0.5128,0.7508841420285755,0.7496,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
25,0.5331,0.5115,0.7506012165794314,0.7502,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
26,0.5366,0.5115,0.7494695147828547,0.7488,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
27,0.5317,0.5108,0.7497524402319988,0.7491,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
28,0.5343,0.5136,0.7508841420285755,0.7495,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
29,0.5354,0.512,0.7484792757108502,0.7479,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
30,0.5357,0.5113,0.7487622011599944,0.748,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
31,0.5332,0.5115,0.7501768284057151,0.7492,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
32,0.5325,0.5103,0.750035365681143,0.7495,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
33,0.5293,0.5106,0.750035365681143,0.7494,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
34,0.5335,0.5105,0.7496109775074268,0.749,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
35,0.5325,0.5106,0.7493280520582827,0.7488,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
36,0.5295,0.5099,0.7501768284057151,0.7495,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
37,0.5324,0.5101,0.7503182911302871,0.7497,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
38,0.5342,0.5106,0.7520158438251521,0.7511,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
39,0.5345,0.51,0.7496109775074268,0.749,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
40,0.5356,0.5111,0.7514499929268638,0.7506,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
41,0.5297,0.511,0.7510256047531475,0.75,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
42,0.5314,0.5114,0.7510256047531475,0.7499,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
43,0.5368,0.5125,0.7503182911302871,0.7488,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
44,0.5326,0.5104,0.750035365681143,0.7493,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
45,0.5291,0.5096,0.7491865893337105,0.7487,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
46,0.5326,0.5106,0.7510256047531475,0.7501,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
47,0.5316,0.5095,0.7501768284057151,0.7498,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
48,0.5302,0.5095,0.7497524402319988,0.7492,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
49,0.5286,0.5099,0.7510256047531475,0.7501,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
50,0.5347,0.5107,0.7511670674777197,0.75,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
51,0.5318,0.5097,0.7486207384354223,0.748,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
52,0.531,0.5095,0.7493280520582827,0.7487,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
53,0.5298,0.5095,0.7501768284057151,0.7495,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
54,0.529,0.5096,0.7504597538548592,0.7497,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
55,0.5333,0.5101,0.7515914556514358,0.7507,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
56,0.5327,0.5093,0.7489036638845664,0.7484,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
57,0.531,0.5097,0.749893902956571,0.7492,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
58,0.532,0.5092,0.749893902956571,0.7495,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
59,0.5295,0.5111,0.7510256047531475,0.7497,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
60,0.5283,0.5094,0.7513085302022917,0.7504,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
61,0.5334,0.5095,0.7511670674777197,0.7504,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
62,0.531,0.5091,0.7507426793040034,0.7501,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
63,0.5327,0.5095,0.7503182911302871,0.75,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
64,0.533,0.5126,0.7486207384354223,0.7467,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
65,0.5285,0.5096,0.7508841420285755,0.7501,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
66,0.5292,0.5109,0.7515914556514358,0.7502,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
67,0.5309,0.509,0.7493280520582827,0.7488,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
68,0.5294,0.5086,0.7491865893337105,0.7488,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
69,0.5322,0.5093,0.749893902956571,0.7496,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
70,0.5329,0.5099,0.7510256047531475,0.75,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
71,0.5308,0.5099,0.7501768284057151,0.7495,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
72,0.5328,0.5094,0.7489036638845664,0.7483,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
73,0.5323,0.5095,0.7507426793040034,0.7499,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
74,0.5297,0.5101,0.7510256047531475,0.7498,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
75,0.5343,0.5087,0.750035365681143,0.7496,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
76,0.5315,0.5092,0.7487622011599944,0.7481,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
77,0.5283,0.5097,0.7513085302022917,0.7502,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
78,0.5316,0.5088,0.750035365681143,0.7493,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
79,0.5286,0.509,0.7507426793040034,0.7498,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
80,0.5317,0.5088,0.7497524402319988,0.749,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
81,0.5357,0.5089,0.7490451266091385,0.7484,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
82,0.5295,0.5113,0.7496109775074268,0.7479,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
83,0.5331,0.5093,0.7514499929268638,0.7505,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
84,0.5302,0.5087,0.7513085302022917,0.7505,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
85,0.5328,0.5093,0.7501768284057151,0.7492,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
86,0.5328,0.5091,0.7496109775074268,0.7489,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
87,0.532,0.5095,0.7507426793040034,0.7498,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
88,0.5287,0.5089,0.7496109775074268,0.749,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
89,0.5315,0.5095,0.7504597538548592,0.7496,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
90,0.5279,0.5085,0.749893902956571,0.7494,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
91,0.5325,0.5097,0.750035365681143,0.749,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
92,0.5308,0.5089,0.7493280520582827,0.7487,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
93,0.5349,0.5096,0.7496109775074268,0.7486,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
94,0.531,0.5092,0.7508841420285755,0.7501,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
95,0.5327,0.509,0.7501768284057151,0.7495,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
96,0.5284,0.5085,0.7504597538548592,0.7499,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
97,0.5289,0.5086,0.7506012165794314,0.7499,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
98,0.5299,0.5091,0.7513085302022917,0.7502,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
99,0.5278,0.5082,0.7504597538548592,0.7498,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
100,0.5316,0.5084,0.7513085302022917,0.7505,MLP520-Tanh-Adagrad-0.01-0_Drop-0.05
1,0.5796,0.5356,0.7394256613382374,0.7394,MLP520-Tanh-Adagrad-0.01-0_Drop-0.1
2,0.5605,0.534,0.7416890649313905,0.7404,MLP520-Tanh-Adagrad-0.01-0_Drop-0.1
3,0.5621,0.5364,0.7404159004102419,0.738,MLP520-Tanh-Adagrad-0.01-0_Drop-0.1
4,0.5548,0.5265,0.7429622294525392,0.7426,MLP520-Tanh-Adagrad-0.01-0_Drop-0.1
5,0.5555,0.5267,0.7433866176262555,0.7433,MLP520-Tanh-Adagrad-0.01-0_Drop-0.1
6,0.5507,0.53,0.7436695430753997,0.7414,MLP520-Tanh-Adagrad-0.01-0_Drop-0.1
7,0.5516,0.5255,0.7457914839439808,0.7451,MLP520-Tanh-Adagrad-0.01-0_Drop-0.1
8,0.5528,0.5248,0.7455085584948367,0.7445,MLP520-Tanh-Adagrad-0.01-0_Drop-0.1
