epoch,epoch_training_loss,epoch_validation_loss,validation_accuracy,validation_f1,model-activation-optimizer-lr-wd
1,0.6386,0.5761,0.7298061960673362,0.7295,MLP520-Tanh-Adagrad-0.1-0
2,0.5467,0.5304,0.7353232423256472,0.7311,MLP520-Tanh-Adagrad-0.1-0
3,0.5376,0.5472,0.7378695713679445,0.7338,MLP520-Tanh-Adagrad-0.1-0
4,0.5311,0.5236,0.7419719903805347,0.741,MLP520-Tanh-Adagrad-0.1-0
5,0.5241,0.5323,0.7340500778044985,0.7252,MLP520-Tanh-Adagrad-0.1-0
6,0.5216,0.5247,0.7346159287027868,0.7346,MLP520-Tanh-Adagrad-0.1-0
7,0.5191,0.5149,0.7411232140331023,0.741,MLP520-Tanh-Adagrad-0.1-0
8,0.5198,0.5182,0.7473475739142736,0.7442,MLP520-Tanh-Adagrad-0.1-0
9,0.5157,0.5216,0.7346159287027868,0.7346,MLP520-Tanh-Adagrad-0.1-0
10,0.5129,0.5211,0.742537841278823,0.738,MLP520-Tanh-Adagrad-0.1-0
11,0.5112,0.5286,0.7399915122365257,0.733,MLP520-Tanh-Adagrad-0.1-0
12,0.5108,0.5102,0.7426793040033951,0.742,MLP520-Tanh-Adagrad-0.1-0
13,0.5085,0.5239,0.744235393973688,0.7398,MLP520-Tanh-Adagrad-0.1-0
14,0.5074,0.5082,0.7446597821474041,0.744,MLP520-Tanh-Adagrad-0.1-0
15,0.5057,0.5251,0.7374451831942284,0.7374,MLP520-Tanh-Adagrad-0.1-0
16,0.5071,0.5115,0.7477719620879898,0.7462,MLP520-Tanh-Adagrad-0.1-0
17,0.5059,0.5084,0.7455085584948367,0.7447,MLP520-Tanh-Adagrad-0.1-0
18,0.5057,0.5102,0.7470646484651294,0.7425,MLP520-Tanh-Adagrad-0.1-0
19,0.5052,0.512,0.7411232140331023,0.7408,MLP520-Tanh-Adagrad-0.1-0
20,0.5032,0.5156,0.7479134248125618,0.7442,MLP520-Tanh-Adagrad-0.1-0
21,0.503,0.5103,0.7456500212194087,0.7443,MLP520-Tanh-Adagrad-0.1-0
22,0.5022,0.5079,0.7438110057999717,0.7432,MLP520-Tanh-Adagrad-0.1-0
23,0.5006,0.5101,0.748054887537134,0.7471,MLP520-Tanh-Adagrad-0.1-0
24,0.5014,0.5064,0.7467817230159853,0.7453,MLP520-Tanh-Adagrad-0.1-0
25,0.5006,0.5102,0.7455085584948367,0.7397,MLP520-Tanh-Adagrad-0.1-0
26,0.5,0.5096,0.74437685669826,0.7442,MLP520-Tanh-Adagrad-0.1-0
27,0.5008,0.5143,0.7402744376856698,0.7402,MLP520-Tanh-Adagrad-0.1-0
