epoch,epoch_training_loss,epoch_validation_loss,validation_accuracy,validation_f1,model-activation-optimizer-lr-wd
1,0.598,0.5462,0.7332013014570661,0.7267,MLP520-Tanh-SGD-0.1-0
2,0.5463,0.5402,0.727401329749611,0.7273,MLP520-Tanh-SGD-0.1-0
3,0.5397,0.5602,0.7189135662752865,0.7039,MLP520-Tanh-SGD-0.1-0
4,0.5421,0.5299,0.7360305559485075,0.7359,MLP520-Tanh-SGD-0.1-0
5,0.5354,0.5242,0.7412646767576744,0.7386,MLP520-Tanh-SGD-0.1-0
6,0.5275,0.5182,0.74437685669826,0.7413,MLP520-Tanh-SGD-0.1-0
7,0.5281,0.514,0.7433866176262555,0.7404,MLP520-Tanh-SGD-0.1-0
8,0.5209,0.519,0.7408402885839581,0.7344,MLP520-Tanh-SGD-0.1-0
9,0.5201,0.5258,0.7381524968170887,0.7296,MLP520-Tanh-SGD-0.1-0
10,0.536,0.5606,0.7091526382798132,0.7041,MLP520-Tanh-SGD-0.1-0
11,0.5213,0.5143,0.7469231857405574,0.7443,MLP520-Tanh-SGD-0.1-0
12,0.5162,0.5083,0.7450841703211204,0.7442,MLP520-Tanh-SGD-0.1-0
13,0.5201,0.5419,0.7394256613382374,0.731,MLP520-Tanh-SGD-0.1-0
14,0.5189,0.5091,0.7463573348422691,0.7438,MLP520-Tanh-SGD-0.1-0
15,0.5228,0.5203,0.7421134531051068,0.7344,MLP520-Tanh-SGD-0.1-0
16,0.5195,0.5365,0.7365964068467958,0.7278,MLP520-Tanh-SGD-0.1-0
17,0.5226,0.5144,0.7459329466685528,0.7415,MLP520-Tanh-SGD-0.1-0
18,0.5192,0.517,0.7429622294525392,0.743,MLP520-Tanh-SGD-0.1-0
19,0.5273,0.5511,0.7394256613382374,0.7305,MLP520-Tanh-SGD-0.1-0
20,0.5162,0.5281,0.7380110340925167,0.738,MLP520-Tanh-SGD-0.1-0
21,0.5211,0.5182,0.7380110340925167,0.738,MLP520-Tanh-SGD-0.1-0
22,0.5175,0.5329,0.7295232706181921,0.7175,MLP520-Tanh-SGD-0.1-0
23,0.5074,0.5212,0.7432451549016834,0.7369,MLP520-Tanh-SGD-0.1-0
24,0.5122,0.5138,0.7484792757108502,0.7453,MLP520-Tanh-SGD-0.1-0
25,0.5087,0.5084,0.7511670674777197,0.7498,MLP520-Tanh-SGD-0.1-0
26,0.5062,0.5112,0.7507426793040034,0.7484,MLP520-Tanh-SGD-0.1-0
27,0.5226,0.5184,0.7339086150799264,0.7337,MLP520-Tanh-SGD-0.1-0
28,0.5178,0.5245,0.7343330032536427,0.734,MLP520-Tanh-SGD-0.1-0
29,0.5093,0.5369,0.7265525534021785,0.7142,MLP520-Tanh-SGD-0.1-0
30,0.5156,0.5243,0.73687933229594,0.7283,MLP520-Tanh-SGD-0.1-0
31,0.5087,0.5157,0.7474890366388457,0.7447,MLP520-Tanh-SGD-0.1-0
32,0.5071,0.5075,0.7463573348422691,0.7453,MLP520-Tanh-SGD-0.1-0
33,0.5043,0.5468,0.7310793605884849,0.7302,MLP520-Tanh-SGD-0.1-0
34,0.5139,0.5149,0.7409817513085302,0.7354,MLP520-Tanh-SGD-0.1-0
35,0.5141,0.5336,0.7418305276559627,0.7418,MLP520-Tanh-SGD-0.1-0
