epoch,epoch_training_loss,epoch_validation_loss,validation_accuracy,validation_f1,model-activation-optimizer-lr-wd
1,0.6887,0.6106,0.7078794737586646,0.7077,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
2,0.5835,0.5698,0.7109916536992502,0.7099,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
3,0.5658,0.565,0.7115575045975385,0.7099,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
4,0.5607,0.5619,0.7159428490592729,0.7154,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
5,0.5573,0.5596,0.7172160135804215,0.7166,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
6,0.5547,0.5577,0.7186306408261424,0.7181,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
7,0.5524,0.5562,0.7177818644787098,0.7169,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
8,0.5502,0.5548,0.7191964917244306,0.7188,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
9,0.5489,0.5534,0.719903805347291,0.7193,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
10,0.5472,0.5522,0.7210355071438675,0.7204,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
11,0.5457,0.5513,0.7208940444192955,0.72,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
12,0.5445,0.5508,0.7204696562455792,0.7193,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
13,0.5435,0.5498,0.7216013580421559,0.7206,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
14,0.5423,0.5484,0.7218842834913001,0.7212,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
15,0.5412,0.5476,0.7214598953175838,0.7208,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
16,0.5405,0.5469,0.719903805347291,0.7192,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
17,0.5396,0.5468,0.7203281935210072,0.7192,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
18,0.5389,0.5456,0.7194794171735748,0.7187,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
19,0.5382,0.5455,0.7203281935210072,0.7192,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
20,0.5375,0.5444,0.7200452680718631,0.7193,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
21,0.5368,0.5437,0.7216013580421559,0.7211,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
22,0.5362,0.5433,0.7223086716650162,0.7218,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
23,0.5357,0.5429,0.7207525816947234,0.72,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
24,0.5351,0.5426,0.7208940444192955,0.72,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
25,0.5345,0.543,0.7214598953175838,0.7201,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
26,0.534,0.5415,0.7240062243598812,0.7237,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
27,0.5337,0.5414,0.7221672089404442,0.7212,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
28,0.5333,0.5407,0.7231574480124487,0.7224,SmallMLP-Tanh-Adagrad-0.01-0_Batch-32
