epoch,epoch_training_loss,epoch_validation_loss,epoch_testing_loss,training_accuracy,training_f1,validation_accuracy,validation_f1,testing_accuracy,testing_f1,model-activation-optimizer-lr-wd
1,0.6497,0.5922,0.5922,0.7084865629420085,0.7084,0.7122648182203989,0.7123,0.7144094919809736,0.7144,SmallMLP-Tanh-Adagrad-0.01-0
2,0.5791,0.5651,0.5633,0.7165487977369166,0.7164,0.7214598953175838,0.7208,0.7225611373401941,0.722,SmallMLP-Tanh-Adagrad-0.01-0
3,0.5659,0.5582,0.556,0.7205091937765206,0.7204,0.7235818361861649,0.7231,0.7254257068590526,0.725,SmallMLP-Tanh-Adagrad-0.01-0
4,0.5596,0.5547,0.552,0.7219236209335219,0.7217,0.7240062243598812,0.7232,0.7281134510989691,0.7274,SmallMLP-Tanh-Adagrad-0.01-0
5,0.5565,0.5524,0.5496,0.7244695898161244,0.7243,0.7249964634318857,0.7243,0.7292451328841971,0.7286,SmallMLP-Tanh-Adagrad-0.01-0
6,0.5531,0.5505,0.5478,0.7265912305516266,0.7265,0.7269769415758948,0.7264,0.7300408466394356,0.7296,SmallMLP-Tanh-Adagrad-0.01-0
7,0.5517,0.5487,0.5459,0.727015558698727,0.7269,0.7276842551987551,0.7271,0.7311371633688752,0.7306,SmallMLP-Tanh-Adagrad-0.01-0
8,0.5493,0.5472,0.5441,0.7274398868458274,0.7273,0.7286744942707597,0.7278,0.7323395752656799,0.7316,SmallMLP-Tanh-Adagrad-0.01-0
9,0.5484,0.5468,0.5442,0.7304101838755304,0.7304,0.731220823313057,0.731,0.7320036072356905,0.7318,SmallMLP-Tanh-Adagrad-0.01-0
10,0.5465,0.5446,0.5412,0.7275813295615275,0.7272,0.7296647333427642,0.7285,0.7340194154156278,0.733,SmallMLP-Tanh-Adagrad-0.01-0
11,0.545,0.5434,0.54,0.7275813295615275,0.7272,0.7310793605884849,0.7299,0.7342492882782523,0.7332,SmallMLP-Tanh-Adagrad-0.01-0
12,0.5428,0.5433,0.5404,0.7308345120226308,0.7308,0.7306549724147687,0.7304,0.7338072250808976,0.7335,SmallMLP-Tanh-Adagrad-0.01-0
13,0.5427,0.5413,0.5381,0.72998585572843,0.7298,0.7315037487622011,0.7307,0.7358760808445175,0.7351,SmallMLP-Tanh-Adagrad-0.01-0
14,0.5419,0.5403,0.537,0.7304101838755304,0.7301,0.733059838732494,0.7321,0.7359821760118826,0.735,SmallMLP-Tanh-Adagrad-0.01-0
15,0.541,0.5395,0.5363,0.7311173974540311,0.7309,0.7339086150799264,0.7331,0.7367071596555443,0.7359,SmallMLP-Tanh-Adagrad-0.01-0
16,0.5397,0.5387,0.5352,0.731966053748232,0.7314,0.7333427641816381,0.732,0.7362120488745071,0.7349,SmallMLP-Tanh-Adagrad-0.01-0
17,0.5386,0.5379,0.5344,0.7322489391796323,0.7318,0.7337671523553544,0.7326,0.7369723975739572,0.7359,SmallMLP-Tanh-Adagrad-0.01-0
18,0.5383,0.5371,0.5337,0.7323903818953323,0.7319,0.7344744659782148,0.7333,0.7372906830760525,0.7361,SmallMLP-Tanh-Adagrad-0.01-0
19,0.5372,0.5365,0.5331,0.7347949080622348,0.7346,0.7344744659782148,0.7336,0.7380687143033968,0.7373,SmallMLP-Tanh-Adagrad-0.01-0
20,0.5365,0.5358,0.5323,0.7332390381895333,0.7326,0.7364549441222238,0.7351,0.7374498258271003,0.7361,SmallMLP-Tanh-Adagrad-0.01-0
21,0.5366,0.5352,0.5316,0.7342291371994343,0.7337,0.7363134813976517,0.735,0.7375559209944653,0.7363,SmallMLP-Tanh-Adagrad-0.01-0
22,0.5345,0.5345,0.531,0.7353606789250353,0.7349,0.7361720186730797,0.735,0.7381217618870793,0.7371,SmallMLP-Tanh-Adagrad-0.01-0
23,0.535,0.5341,0.5304,0.734936350777935,0.7343,0.7363134813976517,0.7348,0.7382632221102329,0.7368,SmallMLP-Tanh-Adagrad-0.01-0
24,0.5337,0.5333,0.5298,0.7364922206506365,0.7361,0.7373037204696562,0.7362,0.7385815076123282,0.7375,SmallMLP-Tanh-Adagrad-0.01-0
25,0.5326,0.5328,0.5292,0.7363507779349363,0.7358,0.73687933229594,0.7356,0.7388997931144237,0.7377,SmallMLP-Tanh-Adagrad-0.01-0
26,0.5319,0.5325,0.5288,0.7364922206506365,0.7358,0.7370207950205121,0.7355,0.738935158170212,0.7375,SmallMLP-Tanh-Adagrad-0.01-0
27,0.5321,0.5323,0.5291,0.7370579915134371,0.737,0.7391427358890932,0.7387,0.7397131893975563,0.7392,SmallMLP-Tanh-Adagrad-0.01-0
28,0.5313,0.5321,0.5281,0.7353606789250353,0.7344,0.7378695713679445,0.7359,0.7396424592859795,0.7378,SmallMLP-Tanh-Adagrad-0.01-0
29,0.5308,0.5319,0.5287,0.7370579915134371,0.737,0.7385768849908049,0.7383,0.7399961098438633,0.7397,SmallMLP-Tanh-Adagrad-0.01-0
30,0.5306,0.5305,0.5268,0.7381895332390382,0.7377,0.7390012731645211,0.7376,0.7402613477622761,0.739,SmallMLP-Tanh-Adagrad-0.01-0
31,0.5305,0.5301,0.5264,0.7391796322489392,0.7387,0.7391427358890932,0.7379,0.7402259827064878,0.7391,SmallMLP-Tanh-Adagrad-0.01-0
32,0.5293,0.5303,0.527,0.7387553041018388,0.7387,0.7401329749610978,0.7397,0.740632680848054,0.7402,SmallMLP-Tanh-Adagrad-0.01-0
33,0.5294,0.5294,0.5256,0.7393210749646393,0.7388,0.7394256613382374,0.738,0.7407564585433134,0.7394,SmallMLP-Tanh-Adagrad-0.01-0
34,0.5284,0.5289,0.5252,0.7407355021216407,0.7404,0.740557363134814,0.7394,0.7408095061269959,0.7398,SmallMLP-Tanh-Adagrad-0.01-0
35,0.5282,0.5287,0.5252,0.7405940594059406,0.7404,0.7418305276559627,0.7411,0.7412338867964564,0.7406,SmallMLP-Tanh-Adagrad-0.01-0
36,0.5271,0.5282,0.5244,0.7407355021216407,0.7403,0.7404159004102419,0.7392,0.741286934380139,0.7402,SmallMLP-Tanh-Adagrad-0.01-0
37,0.5278,0.5279,0.5242,0.7404526166902404,0.7402,0.7406988258593861,0.7398,0.7411631566848796,0.7403,SmallMLP-Tanh-Adagrad-0.01-0
38,0.5267,0.5275,0.5237,0.7407355021216407,0.7403,0.7397085867873815,0.7385,0.7417289975774937,0.7406,SmallMLP-Tanh-Adagrad-0.01-0
39,0.5269,0.5274,0.5235,0.7397454031117398,0.7391,0.7385768849908049,0.7371,0.7423655685816845,0.741,SmallMLP-Tanh-Adagrad-0.01-0
40,0.5262,0.5271,0.5234,0.7411598302687411,0.741,0.7426793040033951,0.7419,0.7414991247148692,0.7408,SmallMLP-Tanh-Adagrad-0.01-0
41,0.5263,0.5267,0.5229,0.7413012729844413,0.7411,0.7418305276559627,0.7409,0.7418881403285413,0.741,SmallMLP-Tanh-Adagrad-0.01-0
42,0.5244,0.5264,0.5225,0.7414427157001414,0.7412,0.7414061394822464,0.7404,0.7421180131911658,0.7412,SmallMLP-Tanh-Adagrad-0.01-0
43,0.5252,0.5263,0.5222,0.7415841584158416,0.741,0.7382939595416608,0.7368,0.7424539812211554,0.7411,SmallMLP-Tanh-Adagrad-0.01-0
44,0.5253,0.5259,0.5219,0.7418670438472419,0.7414,0.7392841986136653,0.7381,0.7424893462769437,0.7414,SmallMLP-Tanh-Adagrad-0.01-0
45,0.5245,0.5256,0.5216,0.7424328147100424,0.7421,0.7411232140331023,0.7401,0.7423478860537902,0.7414,SmallMLP-Tanh-Adagrad-0.01-0
46,0.5242,0.5259,0.5216,0.7405940594059406,0.7397,0.7378695713679445,0.736,0.7429667745300869,0.7413,SmallMLP-Tanh-Adagrad-0.01-0
47,0.5241,0.5255,0.5217,0.7427157001414427,0.7426,0.7440939312491158,0.7435,0.742984457057981,0.7425,SmallMLP-Tanh-Adagrad-0.01-0
48,0.5245,0.525,0.5211,0.7424328147100424,0.7423,0.7440939312491158,0.7433,0.7427722667232508,0.742,SmallMLP-Tanh-Adagrad-0.01-0
49,0.5236,0.5247,0.5206,0.7438472418670439,0.7435,0.7416890649313905,0.7406,0.742984457057981,0.742,SmallMLP-Tanh-Adagrad-0.01-0
50,0.5238,0.5245,0.5204,0.7434229137199434,0.743,0.7390012731645211,0.7377,0.7431259172811345,0.7419,SmallMLP-Tanh-Adagrad-0.01-0
51,0.5224,0.5244,0.5201,0.742998585572843,0.7425,0.7392841986136653,0.7379,0.7434795678390183,0.7422,SmallMLP-Tanh-Adagrad-0.01-0
52,0.522,0.524,0.52,0.7438472418670439,0.7437,0.7436695430753997,0.7428,0.7432320124484997,0.7424,SmallMLP-Tanh-Adagrad-0.01-0
53,0.523,0.5239,0.5198,0.7435643564356436,0.7434,0.7435280803508275,0.7427,0.7434088377274415,0.7426,SmallMLP-Tanh-Adagrad-0.01-0
54,0.5216,0.5238,0.5198,0.7441301272984441,0.744,0.7445183194228321,0.7439,0.743550297950595,0.7429,SmallMLP-Tanh-Adagrad-0.01-0
55,0.5224,0.5235,0.5192,0.7437057991513437,0.7432,0.7418305276559627,0.7405,0.7436563931179602,0.7424,SmallMLP-Tanh-Adagrad-0.01-0
56,0.522,0.5233,0.5191,0.7448373408769449,0.7446,0.7431036921771114,0.7423,0.7438509009247962,0.743,SmallMLP-Tanh-Adagrad-0.01-0
57,0.5221,0.5231,0.519,0.7448373408769449,0.7447,0.744235393973688,0.7435,0.7439569960921614,0.7432,SmallMLP-Tanh-Adagrad-0.01-0
58,0.5213,0.5229,0.5187,0.7458274398868459,0.7456,0.7433866176262555,0.7426,0.7443283291779392,0.7435,SmallMLP-Tanh-Adagrad-0.01-0
59,0.5215,0.5228,0.5184,0.7444130127298444,0.744,0.7428207667279672,0.7417,0.7443283291779392,0.7432,SmallMLP-Tanh-Adagrad-0.01-0
60,0.5205,0.5226,0.5182,0.7444130127298444,0.744,0.7432451549016834,0.7421,0.7444167418174102,0.7434,SmallMLP-Tanh-Adagrad-0.01-0
61,0.5209,0.5228,0.5188,0.7456859971711457,0.7456,0.7445183194228321,0.744,0.7440100436758439,0.7435,SmallMLP-Tanh-Adagrad-0.01-0
62,0.5211,0.5222,0.5179,0.7442715700141442,0.7439,0.7432451549016834,0.7421,0.7447527098473998,0.7437,SmallMLP-Tanh-Adagrad-0.01-0
63,0.5207,0.5221,0.5177,0.7448373408769449,0.7445,0.7439524685245438,0.7429,0.7448764875426591,0.7439,SmallMLP-Tanh-Adagrad-0.01-0
64,0.5196,0.522,0.5177,0.745968882602546,0.7458,0.7456500212194087,0.7449,0.7445228369847754,0.7438,SmallMLP-Tanh-Adagrad-0.01-0
65,0.5192,0.5219,0.5173,0.7444130127298444,0.744,0.7426793040033951,0.7414,0.7446996622637172,0.7436,SmallMLP-Tanh-Adagrad-0.01-0
66,0.5199,0.5217,0.5172,0.7455445544554455,0.7452,0.7445183194228321,0.7435,0.7451770905168603,0.7442,SmallMLP-Tanh-Adagrad-0.01-0
67,0.5194,0.5215,0.517,0.7458274398868459,0.7455,0.7448012448719762,0.7437,0.7450709953494952,0.7441,SmallMLP-Tanh-Adagrad-0.01-0
68,0.5193,0.5214,0.517,0.7456859971711457,0.7455,0.7459329466685528,0.7451,0.7449118525984475,0.7441,SmallMLP-Tanh-Adagrad-0.01-0
69,0.5192,0.5213,0.5168,0.7456859971711457,0.7455,0.7457914839439808,0.745,0.7450002652379184,0.7442,SmallMLP-Tanh-Adagrad-0.01-0
70,0.519,0.5214,0.5166,0.7437057991513437,0.7432,0.7428207667279672,0.7414,0.7450002652379184,0.7437,SmallMLP-Tanh-Adagrad-0.01-0
71,0.5185,0.521,0.5165,0.7461103253182461,0.7459,0.7457914839439808,0.745,0.7452831856842255,0.7445,SmallMLP-Tanh-Adagrad-0.01-0
72,0.5185,0.5213,0.5165,0.7441301272984441,0.7435,0.7432451549016834,0.7416,0.7449295351263416,0.7435,SmallMLP-Tanh-Adagrad-0.01-0
73,0.5183,0.5208,0.5163,0.7465346534653465,0.7464,0.7460744093931249,0.7453,0.7453715983236964,0.7447,SmallMLP-Tanh-Adagrad-0.01-0
74,0.5182,0.5207,0.5161,0.7468175388967468,0.7466,0.7459329466685528,0.7451,0.7456898838257917,0.7449,SmallMLP-Tanh-Adagrad-0.01-0
75,0.5178,0.5209,0.5164,0.7468175388967468,0.7468,0.7459329466685528,0.7454,0.7451947730447545,0.7447,SmallMLP-Tanh-Adagrad-0.01-0
76,0.5189,0.5206,0.5158,0.7446958981612447,0.7442,0.7445183194228321,0.7431,0.7454776934910615,0.7442,SmallMLP-Tanh-Adagrad-0.01-0
77,0.5182,0.5204,0.5156,0.7454031117397454,0.745,0.7439524685245438,0.7428,0.7454423284352731,0.7444,SmallMLP-Tanh-Adagrad-0.01-0
78,0.5182,0.5203,0.5155,0.7455445544554455,0.7451,0.7438110057999717,0.7426,0.7455130585468499,0.7444,SmallMLP-Tanh-Adagrad-0.01-0
79,0.5179,0.5203,0.5154,0.7444130127298444,0.7439,0.7438110057999717,0.7425,0.7456014711863208,0.7444,SmallMLP-Tanh-Adagrad-0.01-0
80,0.5179,0.5201,0.5155,0.746958981612447,0.7468,0.746215872117697,0.7455,0.7454953760189557,0.7449,SmallMLP-Tanh-Adagrad-0.01-0
81,0.518,0.5199,0.5152,0.7466760961810467,0.7464,0.7463573348422691,0.7455,0.7457252488815801,0.7449,SmallMLP-Tanh-Adagrad-0.01-0
82,0.5177,0.5206,0.5155,0.7451202263083451,0.7443,0.7436695430753997,0.7419,0.7453892808515905,0.7437,SmallMLP-Tanh-Adagrad-0.01-0
83,0.5172,0.5198,0.5149,0.744978783592645,0.7446,0.74437685669826,0.7432,0.7456545187700033,0.7446,SmallMLP-Tanh-Adagrad-0.01-0
84,0.517,0.5197,0.5148,0.7451202263083451,0.7447,0.7446597821474041,0.7434,0.7459728042720988,0.7448,SmallMLP-Tanh-Adagrad-0.01-0
85,0.5169,0.5202,0.515,0.7456859971711457,0.745,0.7446597821474041,0.743,0.7458667091047336,0.7443,SmallMLP-Tanh-Adagrad-0.01-0
86,0.5168,0.5194,0.5146,0.7476661951909477,0.7474,0.7453670957702645,0.7444,0.7459551217442045,0.7451,SmallMLP-Tanh-Adagrad-0.01-0
87,0.518,0.5196,0.5145,0.7448373408769449,0.7443,0.7452256330456924,0.7439,0.7463971849415593,0.7451,SmallMLP-Tanh-Adagrad-0.01-0
88,0.5164,0.5193,0.5143,0.7461103253182461,0.7457,0.7452256330456924,0.7441,0.7460081693278872,0.745,SmallMLP-Tanh-Adagrad-0.01-0
89,0.5167,0.5193,0.5143,0.7455445544554455,0.7451,0.7450841703211204,0.7438,0.7461673120789348,0.745,SmallMLP-Tanh-Adagrad-0.01-0
90,0.5162,0.5192,0.5143,0.7478076379066478,0.7476,0.7463573348422691,0.7456,0.7462026771347232,0.7455,SmallMLP-Tanh-Adagrad-0.01-0
91,0.5173,0.5191,0.5141,0.748090523338048,0.7479,0.7450841703211204,0.7442,0.7462203596626173,0.7454,SmallMLP-Tanh-Adagrad-0.01-0
92,0.5165,0.519,0.5141,0.7476661951909477,0.7475,0.7467817230159853,0.746,0.7463264548299825,0.7456,SmallMLP-Tanh-Adagrad-0.01-0
93,0.5161,0.5191,0.5139,0.7458274398868459,0.7453,0.7460744093931249,0.7448,0.7463618198857709,0.7452,SmallMLP-Tanh-Adagrad-0.01-0
94,0.5169,0.519,0.514,0.7466760961810467,0.7466,0.7457914839439808,0.7452,0.746379502413665,0.7458,SmallMLP-Tanh-Adagrad-0.01-0
95,0.5152,0.5198,0.5143,0.7446958981612447,0.7438,0.7445183194228321,0.7426,0.7458313440489452,0.7441,SmallMLP-Tanh-Adagrad-0.01-0
96,0.5155,0.5189,0.5137,0.7452616690240452,0.7447,0.7463573348422691,0.745,0.7464148674694534,0.7452,SmallMLP-Tanh-Adagrad-0.01-0
97,0.5154,0.5187,0.5135,0.7456859971711457,0.7453,0.7456500212194087,0.7445,0.7465209626368186,0.7455,SmallMLP-Tanh-Adagrad-0.01-0
98,0.5155,0.5187,0.5137,0.745968882602546,0.7459,0.7453670957702645,0.7447,0.7465032801089244,0.7459,SmallMLP-Tanh-Adagrad-0.01-0
99,0.516,0.5186,0.5135,0.7458274398868459,0.7457,0.7459329466685528,0.7453,0.7471398511131151,0.7465,SmallMLP-Tanh-Adagrad-0.01-0
100,0.5157,0.5186,0.5135,0.745968882602546,0.7459,0.7456500212194087,0.745,0.7465563276926069,0.746,SmallMLP-Tanh-Adagrad-0.01-0
