epoch,epoch_training_loss,epoch_validation_loss,validation_accuracy,validation_f1,model-activation-optimizer-lr-wd
1,0.68,0.6131,0.7150940727118404,0.7148,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
2,0.5879,0.5742,0.7177818644787098,0.7165,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
3,0.5703,0.5669,0.7179233272032819,0.7159,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
4,0.5656,0.5638,0.7186306408261424,0.7162,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
5,0.5623,0.5611,0.721742820766728,0.7198,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
6,0.5598,0.5592,0.7237232989107371,0.7216,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
7,0.5576,0.5572,0.7237232989107371,0.7223,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
8,0.5561,0.5561,0.7251379261564578,0.7228,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
9,0.5552,0.5543,0.7257037770547461,0.7238,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
10,0.5535,0.553,0.727401329749611,0.7257,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
11,0.5518,0.5519,0.7272598670250389,0.7252,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
12,0.5509,0.5507,0.7281086433724714,0.7261,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
13,0.5502,0.5497,0.7278257179233272,0.7259,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
14,0.5481,0.5485,0.7298061960673362,0.7284,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
15,0.5479,0.5476,0.7298061960673362,0.7283,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
16,0.5468,0.5467,0.7306549724147687,0.7292,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
17,0.5462,0.5458,0.7320695996604895,0.7308,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
18,0.5449,0.545,0.731220823313057,0.7295,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
19,0.5435,0.5442,0.7339086150799264,0.7326,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
20,0.5436,0.5435,0.7317866742113454,0.7301,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
21,0.5426,0.5427,0.7333427641816381,0.7319,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
22,0.5425,0.5421,0.7334842269062102,0.7318,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
23,0.5415,0.5414,0.734898854151931,0.7332,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
24,0.5407,0.5408,0.7347573914273589,0.7332,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
25,0.5402,0.5401,0.7347573914273589,0.7332,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
26,0.54,0.5396,0.7350403168765031,0.7335,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
27,0.5387,0.539,0.734898854151931,0.7331,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
28,0.5381,0.5384,0.7351817796010751,0.7337,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
29,0.5381,0.538,0.7356061677747914,0.7338,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
30,0.537,0.5374,0.7356061677747914,0.7341,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
31,0.5356,0.5369,0.7343330032536427,0.7331,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
32,0.5361,0.5365,0.7360305559485075,0.7344,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
33,0.5353,0.536,0.7365964068467958,0.7353,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.00
