epoch,epoch_training_loss,epoch_validation_loss,validation_accuracy,validation_f1,model-activation-optimizer-lr-wd
1,0.5714,0.5395,0.7336256896307823,0.7323,SmallMLP-Tanh-Adagrad-0.1-0
2,0.5377,0.5577,0.7128306691186872,0.6955,SmallMLP-Tanh-Adagrad-0.1-0
3,0.5262,0.5665,0.7090111755552412,0.7062,SmallMLP-Tanh-Adagrad-0.1-0
4,0.5225,0.5251,0.7371622577450841,0.7313,SmallMLP-Tanh-Adagrad-0.1-0
5,0.5181,0.5173,0.74437685669826,0.7422,SmallMLP-Tanh-Adagrad-0.1-0
6,0.5153,0.5251,0.7346159287027868,0.7346,SmallMLP-Tanh-Adagrad-0.1-0
7,0.5168,0.5145,0.7448012448719762,0.7431,SmallMLP-Tanh-Adagrad-0.1-0
8,0.5116,0.5144,0.7418305276559627,0.7412,SmallMLP-Tanh-Adagrad-0.1-0
9,0.5113,0.5173,0.7421134531051068,0.7371,SmallMLP-Tanh-Adagrad-0.1-0
10,0.5076,0.5436,0.7305135096901967,0.73,SmallMLP-Tanh-Adagrad-0.1-0
11,0.5112,0.5149,0.7433866176262555,0.7427,SmallMLP-Tanh-Adagrad-0.1-0
12,0.5075,0.5098,0.7456500212194087,0.7442,SmallMLP-Tanh-Adagrad-0.1-0
13,0.508,0.5101,0.7477719620879898,0.7451,SmallMLP-Tanh-Adagrad-0.1-0
14,0.5063,0.5282,0.7365964068467958,0.7285,SmallMLP-Tanh-Adagrad-0.1-0
15,0.5064,0.5088,0.746215872117697,0.7452,SmallMLP-Tanh-Adagrad-0.1-0
16,0.5035,0.5102,0.7483378129862781,0.7457,SmallMLP-Tanh-Adagrad-0.1-0
17,0.505,0.525,0.7370207950205121,0.7284,SmallMLP-Tanh-Adagrad-0.1-0
18,0.5049,0.5095,0.746215872117697,0.745,SmallMLP-Tanh-Adagrad-0.1-0
19,0.5036,0.5078,0.7457914839439808,0.7437,SmallMLP-Tanh-Adagrad-0.1-0
20,0.5027,0.5083,0.7448012448719762,0.7441,SmallMLP-Tanh-Adagrad-0.1-0
21,0.5022,0.5192,0.7422549158296788,0.7423,SmallMLP-Tanh-Adagrad-0.1-0
22,0.5023,0.5084,0.7470646484651294,0.7446,SmallMLP-Tanh-Adagrad-0.1-0
23,0.5015,0.5111,0.7445183194228321,0.7406,SmallMLP-Tanh-Adagrad-0.1-0
24,0.5018,0.5077,0.7472061111897015,0.7462,SmallMLP-Tanh-Adagrad-0.1-0
25,0.5012,0.5199,0.7432451549016834,0.7368,SmallMLP-Tanh-Adagrad-0.1-0
26,0.5008,0.5265,0.7382939595416608,0.738,SmallMLP-Tanh-Adagrad-0.1-0
27,0.5008,0.5102,0.7452256330456924,0.745,SmallMLP-Tanh-Adagrad-0.1-0
28,0.5014,0.5165,0.7411232140331023,0.7411,SmallMLP-Tanh-Adagrad-0.1-0
29,0.501,0.5085,0.7470646484651294,0.7443,SmallMLP-Tanh-Adagrad-0.1-0
30,0.5016,0.5148,0.7439524685245438,0.7439,SmallMLP-Tanh-Adagrad-0.1-0
31,0.5,0.5126,0.7411232140331023,0.7411,SmallMLP-Tanh-Adagrad-0.1-0
32,0.5002,0.5077,0.7477719620879898,0.746,SmallMLP-Tanh-Adagrad-0.1-0
33,0.5005,0.5086,0.7457914839439808,0.7427,SmallMLP-Tanh-Adagrad-0.1-0
34,0.4994,0.51,0.7466402602914132,0.7429,SmallMLP-Tanh-Adagrad-0.1-0
35,0.4995,0.5152,0.7464987975668411,0.7416,SmallMLP-Tanh-Adagrad-0.1-0
36,0.5003,0.5122,0.7448012448719762,0.7447,SmallMLP-Tanh-Adagrad-0.1-0
37,0.4987,0.5073,0.7477719620879898,0.7464,SmallMLP-Tanh-Adagrad-0.1-0
