epoch,epoch_training_loss,epoch_validation_loss,validation_accuracy,validation_f1,model-activation-optimizer-lr-wd
1,0.6619,0.7085,0.49370490875654266,0.3305,SmallMLP-Tanh-SGD-0.1-0
2,0.5852,0.5734,0.7333427641816381,0.7331,SmallMLP-Tanh-SGD-0.1-0
3,0.5477,0.5338,0.7390012731645211,0.7362,SmallMLP-Tanh-SGD-0.1-0
4,0.5467,0.5254,0.7358890932239355,0.7357,SmallMLP-Tanh-SGD-0.1-0
5,0.5359,0.5306,0.7251379261564578,0.7247,SmallMLP-Tanh-SGD-0.1-0
6,0.5481,0.5336,0.7404159004102419,0.7375,SmallMLP-Tanh-SGD-0.1-0
7,0.5266,0.5277,0.729240345169048,0.7291,SmallMLP-Tanh-SGD-0.1-0
8,0.5267,0.5327,0.7418305276559627,0.7388,SmallMLP-Tanh-SGD-0.1-0
9,0.5298,0.5209,0.7354647050502192,0.7354,SmallMLP-Tanh-SGD-0.1-0
10,0.5238,0.5745,0.6720894044419295,0.6561,SmallMLP-Tanh-SGD-0.1-0
11,0.5223,0.5353,0.7315037487622011,0.7313,SmallMLP-Tanh-SGD-0.1-0
12,0.5224,0.5149,0.74437685669826,0.7441,SmallMLP-Tanh-SGD-0.1-0
13,0.5222,0.5207,0.7438110057999717,0.7431,SmallMLP-Tanh-SGD-0.1-0
14,0.5171,0.5164,0.740557363134814,0.7406,SmallMLP-Tanh-SGD-0.1-0
15,0.5219,0.53,0.7322110623850615,0.7318,SmallMLP-Tanh-SGD-0.1-0
16,0.519,0.5329,0.7319281369359174,0.7196,SmallMLP-Tanh-SGD-0.1-0
17,0.5347,0.5419,0.7092941010043854,0.7053,SmallMLP-Tanh-SGD-0.1-0
18,0.5274,0.5194,0.7456500212194087,0.7447,SmallMLP-Tanh-SGD-0.1-0
19,0.5162,0.5216,0.7453670957702645,0.7403,SmallMLP-Tanh-SGD-0.1-0
20,0.5156,0.5201,0.744235393973688,0.7424,SmallMLP-Tanh-SGD-0.1-0
21,0.516,0.5174,0.7473475739142736,0.7464,SmallMLP-Tanh-SGD-0.1-0
22,0.5152,0.5084,0.7467817230159853,0.7442,SmallMLP-Tanh-SGD-0.1-0
23,0.5263,0.5151,0.7497524402319988,0.7478,SmallMLP-Tanh-SGD-0.1-0
24,0.5251,0.5203,0.7474890366388457,0.7419,SmallMLP-Tanh-SGD-0.1-0
25,0.5149,0.5406,0.7186306408261424,0.7007,SmallMLP-Tanh-SGD-0.1-0
26,0.5172,0.5095,0.7456500212194087,0.7448,SmallMLP-Tanh-SGD-0.1-0
27,0.5252,0.521,0.7455085584948367,0.7449,SmallMLP-Tanh-SGD-0.1-0
28,0.5138,0.521,0.7436695430753997,0.743,SmallMLP-Tanh-SGD-0.1-0
29,0.5175,0.5287,0.7322110623850615,0.7316,SmallMLP-Tanh-SGD-0.1-0
30,0.5163,0.5073,0.7493280520582827,0.7484,SmallMLP-Tanh-SGD-0.1-0
31,0.524,0.5132,0.7479134248125618,0.747,SmallMLP-Tanh-SGD-0.1-0
32,0.5158,0.5148,0.7418305276559627,0.7417,SmallMLP-Tanh-SGD-0.1-0
33,0.5148,0.5131,0.7473475739142736,0.7466,SmallMLP-Tanh-SGD-0.1-0
34,0.5129,0.5067,0.7466402602914132,0.7459,SmallMLP-Tanh-SGD-0.1-0
35,0.5126,0.5066,0.7491865893337105,0.7477,SmallMLP-Tanh-SGD-0.1-0
36,0.51,0.5067,0.7464987975668411,0.7459,SmallMLP-Tanh-SGD-0.1-0
37,0.5156,0.5164,0.7455085584948367,0.7403,SmallMLP-Tanh-SGD-0.1-0
38,0.5157,0.5205,0.7381524968170887,0.7381,SmallMLP-Tanh-SGD-0.1-0
39,0.5101,0.5146,0.7466402602914132,0.7416,SmallMLP-Tanh-SGD-0.1-0
40,0.5136,0.5103,0.7452256330456924,0.7448,SmallMLP-Tanh-SGD-0.1-0
41,0.5191,0.5307,0.7450841703211204,0.7378,SmallMLP-Tanh-SGD-0.1-0
42,0.5128,0.516,0.7388598104399491,0.7387,SmallMLP-Tanh-SGD-0.1-0
43,0.5127,0.5125,0.7486207384354223,0.7441,SmallMLP-Tanh-SGD-0.1-0
44,0.509,0.5185,0.7489036638845664,0.7444,SmallMLP-Tanh-SGD-0.1-0
45,0.5156,0.5705,0.7319281369359174,0.7203,SmallMLP-Tanh-SGD-0.1-0
46,0.5155,0.51,0.7385768849908049,0.7385,SmallMLP-Tanh-SGD-0.1-0
47,0.5082,0.5239,0.7397085867873815,0.7397,SmallMLP-Tanh-SGD-0.1-0
48,0.5117,0.5104,0.744235393973688,0.7442,SmallMLP-Tanh-SGD-0.1-0
49,0.5139,0.5201,0.7463573348422691,0.7427,SmallMLP-Tanh-SGD-0.1-0
50,0.512,0.5078,0.7473475739142736,0.7462,SmallMLP-Tanh-SGD-0.1-0
51,0.5162,0.5145,0.7453670957702645,0.7452,SmallMLP-Tanh-SGD-0.1-0
52,0.5135,0.5165,0.7406988258593861,0.7407,SmallMLP-Tanh-SGD-0.1-0
53,0.5116,0.5105,0.748054887537134,0.7438,SmallMLP-Tanh-SGD-0.1-0
54,0.5139,0.5109,0.746215872117697,0.74,SmallMLP-Tanh-SGD-0.1-0
55,0.5111,0.5108,0.7474890366388457,0.7432,SmallMLP-Tanh-SGD-0.1-0
56,0.5156,0.5624,0.7276842551987551,0.7263,SmallMLP-Tanh-SGD-0.1-0
57,0.5133,0.5072,0.7473475739142736,0.7469,SmallMLP-Tanh-SGD-0.1-0
58,0.5086,0.5176,0.7466402602914132,0.746,SmallMLP-Tanh-SGD-0.1-0
59,0.5105,0.5153,0.7452256330456924,0.7407,SmallMLP-Tanh-SGD-0.1-0
60,0.5159,0.5073,0.7457914839439808,0.7449,SmallMLP-Tanh-SGD-0.1-0
61,0.5157,0.5148,0.742396378554251,0.7341,SmallMLP-Tanh-SGD-0.1-0
62,0.5079,0.5143,0.7456500212194087,0.7453,SmallMLP-Tanh-SGD-0.1-0
63,0.5156,0.5162,0.7477719620879898,0.7471,SmallMLP-Tanh-SGD-0.1-0
64,0.511,0.5123,0.7467817230159853,0.7406,SmallMLP-Tanh-SGD-0.1-0
65,0.5142,0.521,0.7477719620879898,0.7468,SmallMLP-Tanh-SGD-0.1-0
66,0.5116,0.5379,0.7285330315461875,0.7155,SmallMLP-Tanh-SGD-0.1-0
67,0.5154,0.532,0.7251379261564578,0.7226,SmallMLP-Tanh-SGD-0.1-0
68,0.5102,0.5237,0.7329183760079219,0.7322,SmallMLP-Tanh-SGD-0.1-0
69,0.5119,0.5097,0.7448012448719762,0.7445,SmallMLP-Tanh-SGD-0.1-0
70,0.5109,0.5083,0.7467817230159853,0.7465,SmallMLP-Tanh-SGD-0.1-0
71,0.5118,0.5112,0.7397085867873815,0.7397,SmallMLP-Tanh-SGD-0.1-0
72,0.5134,0.5083,0.7484792757108502,0.7474,SmallMLP-Tanh-SGD-0.1-0
73,0.508,0.5199,0.7422549158296788,0.7422,SmallMLP-Tanh-SGD-0.1-0
74,0.5154,0.5098,0.7481963502617061,0.7476,SmallMLP-Tanh-SGD-0.1-0
75,0.5068,0.5191,0.7445183194228321,0.737,SmallMLP-Tanh-SGD-0.1-0
76,0.5059,0.5136,0.7491865893337105,0.7443,SmallMLP-Tanh-SGD-0.1-0
77,0.5104,0.5081,0.7493280520582827,0.7464,SmallMLP-Tanh-SGD-0.1-0
78,0.511,0.5201,0.7463573348422691,0.7404,SmallMLP-Tanh-SGD-0.1-0
79,0.5108,0.5125,0.7476304993634177,0.7453,SmallMLP-Tanh-SGD-0.1-0
80,0.5086,0.5083,0.7466402602914132,0.7462,SmallMLP-Tanh-SGD-0.1-0
81,0.5084,0.5111,0.7481963502617061,0.7469,SmallMLP-Tanh-SGD-0.1-0
82,0.5102,0.5179,0.7477719620879898,0.7472,SmallMLP-Tanh-SGD-0.1-0
83,0.5174,0.5143,0.7448012448719762,0.7386,SmallMLP-Tanh-SGD-0.1-0
84,0.5109,0.5114,0.7494695147828547,0.7453,SmallMLP-Tanh-SGD-0.1-0
85,0.5107,0.5423,0.7343330032536427,0.734,SmallMLP-Tanh-SGD-0.1-0
86,0.5124,0.5253,0.7272598670250389,0.7252,SmallMLP-Tanh-SGD-0.1-0
87,0.5122,0.5337,0.7399915122365257,0.7305,SmallMLP-Tanh-SGD-0.1-0
88,0.514,0.5216,0.7459329466685528,0.7458,SmallMLP-Tanh-SGD-0.1-0
89,0.5125,0.5108,0.7490451266091385,0.7474,SmallMLP-Tanh-SGD-0.1-0
90,0.5143,0.5091,0.7491865893337105,0.7474,SmallMLP-Tanh-SGD-0.1-0
91,0.5107,0.5181,0.7390012731645211,0.7389,SmallMLP-Tanh-SGD-0.1-0
92,0.5127,0.5232,0.7463573348422691,0.7399,SmallMLP-Tanh-SGD-0.1-0
93,0.5161,0.518,0.746215872117697,0.7394,SmallMLP-Tanh-SGD-0.1-0
94,0.5157,0.5267,0.7440939312491158,0.7363,SmallMLP-Tanh-SGD-0.1-0
95,0.5167,0.51,0.7474890366388457,0.747,SmallMLP-Tanh-SGD-0.1-0
96,0.5169,0.5187,0.7289574197199038,0.7275,SmallMLP-Tanh-SGD-0.1-0
97,0.5105,0.5251,0.7433866176262555,0.7363,SmallMLP-Tanh-SGD-0.1-0
98,0.5105,0.516,0.7404159004102419,0.7404,SmallMLP-Tanh-SGD-0.1-0
99,0.5088,0.5142,0.7415476022068185,0.7415,SmallMLP-Tanh-SGD-0.1-0
100,0.5094,0.5105,0.7473475739142736,0.7443,SmallMLP-Tanh-SGD-0.1-0
1,0.5808,0.5461,0.7326354505587778,0.7307,SmallMLP-Tanh-Adagrad-0.1-0
2,0.5423,0.531,0.7390012731645211,0.7376,SmallMLP-Tanh-Adagrad-0.1-0
3,0.5324,0.5261,0.7412646767576744,0.7394,SmallMLP-Tanh-Adagrad-0.1-0
4,0.5252,0.5232,0.7406988258593861,0.7369,SmallMLP-Tanh-Adagrad-0.1-0
5,0.522,0.5225,0.7450841703211204,0.7429,SmallMLP-Tanh-Adagrad-0.1-0
6,0.5193,0.5175,0.7453670957702645,0.7423,SmallMLP-Tanh-Adagrad-0.1-0
7,0.5153,0.5927,0.7050502192672231,0.7002,SmallMLP-Tanh-Adagrad-0.1-0
8,0.5138,0.5199,0.7422549158296788,0.7371,SmallMLP-Tanh-Adagrad-0.1-0
9,0.5145,0.5206,0.7394256613382374,0.7394,SmallMLP-Tanh-Adagrad-0.1-0
10,0.5108,0.5118,0.7455085584948367,0.7438,SmallMLP-Tanh-Adagrad-0.1-0
11,0.5106,0.5253,0.7350403168765031,0.735,SmallMLP-Tanh-Adagrad-0.1-0
12,0.5089,0.5121,0.7450841703211204,0.744,SmallMLP-Tanh-Adagrad-0.1-0
13,0.5087,0.511,0.7457914839439808,0.745,SmallMLP-Tanh-Adagrad-0.1-0
14,0.5072,0.511,0.7455085584948367,0.7428,SmallMLP-Tanh-Adagrad-0.1-0
15,0.5075,0.5103,0.7460744093931249,0.7452,SmallMLP-Tanh-Adagrad-0.1-0
16,0.5072,0.5092,0.7463573348422691,0.7452,SmallMLP-Tanh-Adagrad-0.1-0
17,0.5057,0.5143,0.7421134531051068,0.742,SmallMLP-Tanh-Adagrad-0.1-0
18,0.5074,0.531,0.7336256896307823,0.7233,SmallMLP-Tanh-Adagrad-0.1-0
19,0.505,0.5092,0.7463573348422691,0.7437,SmallMLP-Tanh-Adagrad-0.1-0
20,0.5053,0.5081,0.7459329466685528,0.7447,SmallMLP-Tanh-Adagrad-0.1-0
21,0.5041,0.5111,0.7460744093931249,0.7422,SmallMLP-Tanh-Adagrad-0.1-0
22,0.503,0.508,0.7453670957702645,0.7436,SmallMLP-Tanh-Adagrad-0.1-0
23,0.5051,0.51,0.7459329466685528,0.7455,SmallMLP-Tanh-Adagrad-0.1-0
24,0.5046,0.5075,0.7457914839439808,0.7438,SmallMLP-Tanh-Adagrad-0.1-0
25,0.5027,0.5234,0.7385768849908049,0.7385,SmallMLP-Tanh-Adagrad-0.1-0
26,0.5021,0.5238,0.736737869571368,0.7366,SmallMLP-Tanh-Adagrad-0.1-0
27,0.5034,0.5172,0.7402744376856698,0.7403,SmallMLP-Tanh-Adagrad-0.1-0
28,0.5037,0.5073,0.7455085584948367,0.7435,SmallMLP-Tanh-Adagrad-0.1-0
29,0.5029,0.5089,0.7479134248125618,0.7474,SmallMLP-Tanh-Adagrad-0.1-0
30,0.5026,0.5559,0.7211769698684397,0.7187,SmallMLP-Tanh-Adagrad-0.1-0
31,0.5045,0.5072,0.7455085584948367,0.7445,SmallMLP-Tanh-Adagrad-0.1-0
32,0.501,0.5108,0.748054887537134,0.7443,SmallMLP-Tanh-Adagrad-0.1-0
33,0.5027,0.5116,0.7445183194228321,0.7444,SmallMLP-Tanh-Adagrad-0.1-0
34,0.5015,0.5093,0.7459329466685528,0.7455,SmallMLP-Tanh-Adagrad-0.1-0
35,0.5011,0.5088,0.7474890366388457,0.747,SmallMLP-Tanh-Adagrad-0.1-0
36,0.5016,0.5071,0.7476304993634177,0.7465,SmallMLP-Tanh-Adagrad-0.1-0
37,0.5007,0.5082,0.7477719620879898,0.7472,SmallMLP-Tanh-Adagrad-0.1-0
38,0.5013,0.5108,0.7448012448719762,0.7446,SmallMLP-Tanh-Adagrad-0.1-0
39,0.5019,0.5069,0.7466402602914132,0.7447,SmallMLP-Tanh-Adagrad-0.1-0
40,0.5018,0.5134,0.7463573348422691,0.7411,SmallMLP-Tanh-Adagrad-0.1-0
41,0.501,0.5122,0.7439524685245438,0.7439,SmallMLP-Tanh-Adagrad-0.1-0
42,0.5011,0.5133,0.7456500212194087,0.7409,SmallMLP-Tanh-Adagrad-0.1-0
43,0.5015,0.5074,0.7479134248125618,0.7452,SmallMLP-Tanh-Adagrad-0.1-0
44,0.5011,0.5068,0.7476304993634177,0.7462,SmallMLP-Tanh-Adagrad-0.1-0
45,0.5007,0.507,0.7484792757108502,0.7475,SmallMLP-Tanh-Adagrad-0.1-0
